Ilan_id,SirketAdi,Sifre
1,GENBA TEKNİK SERVİS MÜH.TAAH.İTH.İHR.SAN TİCLTDŞTİ,1234
2,CLC World Resorts,1234
3,Deloitte,1234
4,Arev Eğitim ve Kültür Hizmetleri AŞ.,1234
5,Yıldız Holding,1234
6,Memak Plastik Gıda Makina San.Tic.A.Ş.,1234
7,Çetin Teknoloji Ltd. Şti,1234
8,Gülba Tekstil İnş.Maden Tur.Gıda San. ve Tic. Şti.,1234
9,VATAN BİLGİSAYAR SAN VE TİC.A.Ş.,1234
10,EY,1234
11,TÜRK EĞİTİM VAKFI,1234
12,DT Mühendislik ve Taahhüt A.Ş.,1234
13,Çetmen Mobilya,1234
14,Özgörkey Otomotiv  Turizm San. ve Tic. A.Ş. - KEY Hotel,1234
15,AY MARKA MAĞAZACILIK A.Ş,1234
16,Altuntaş A.Ş.,1234
17,Erbak Uludağ İçecek A.Ş.,1234
18,Penta Elektronik Telekomünikasyon San.ve Tic. A.Ş.,1234
19,Alliance Healthcare Yatırım Holding A.Ş.,1234
20,Koçtaş Yapı Marketleri Tic. A.Ş.,1234
21,Elite Gayrimenkul A.Ş.,1234
22, hummel Türkiye,1234
23,Cubicgeo Hidrojeoloji Jeoloji Maden Danışmanlığı,1234
24,Etts Elektronik Ticaret Tahsilat Sistemleri ,1234
25,MARTUR SÜNGER VE KOLTUK TESİSLERİ TİCARET VE SANAYİ A.Ş.,1234
26,KOTON,1234
27,STUDIO KUAFÖR GÖKHAN ÖZCAN,1234
28,AEC KİMYA SAN TİC LTD ŞTİ,1234
29,Metal Oto Ticaret A.Ş.,1234
30,ata ilaç sağlık ürünleri san tic ltd.şti.,1234
31,Akdeniz Kimya Sanayi ve Tic. A.Ş.,1234
32,Classified ad,1234
33,Manpower,1234
34,Lanova Ev Gereçleri Sanayi ve Ticaret A.ş.,1234
35,ENGLISH HOME,1234
36,YÜCE AUTO SKODA,1234
37,Klimasan Klima San. ve Tic. A.Ş.,1234
38,DERİDEN DERİ MAMULLERİ SANAYİ VE TİC.A.Ş. ,1234
39,THE SWATCH GROUP TURKEY SAAT TİC.LTD.ŞTİ.,1234
40,Acıbadem Sağlık Grubu,1234
41,SEFİNE DENİZCİLİK TERSANECİLİK TURİZM SAN. VE TİC. A.Ş.,1234
42,Öztürk Gayrimenkul,1234
43,ING Bank A.Ş.,1234
44,Gizli Firma,1234
45,COŞKUN HAZIR GİYİM A.Ş,1234
46,Festival İplik ve Halı San. Tic. A.Ş.,1234
47,Unimak Mühendislik Hizm. ve Mak.San.Tic.Ltd.Şti.,1234
48,Bianco Pharma İlaç ve Sağlık Ürünleri San. ve Tic. A.Ş.,1234
49,İNTERTEK TEST HİZMETLERİ A.Ş.,1234
50,TURYAP ARMADA GAYRİMENKUL TEMSİLCİLİĞİ EMRAH ARSLAN ADİ ORTAKLIĞI,1234
51,Hayri Kaptan Gıda Ve Pastane İht. Madd. Tic. Ltd.,1234
52,BİLLURLAR İÇ VE DIŞ TİCARET A.Ş,1234
53,Marks  ve  Spencer,1234
54,Calzedonia Tk Dış Tic. Ltd. Şti,1234
55,Eren Perakende Satış ve Mağazacılık A.Ş.	,1234
56,BMT BAPS BİYO MALZEME SAN. TİC. A.Ş.,1234
57,Taşkıranlar Halı Pazarlama Mobilya San ve Tic AŞ,1234
58,METALTEX EV GEREÇLERİ İTH.LTD. ŞTİ. ,1234
59,VİPPOİNT İNSAN KAYNAKLARI TURİZM ORGANİZASYON VE OTELCİLİK TİCARET LİMİTED ŞİRKETİ,1234
60,METRO Cash  ve  Carry Türkiye,1234
61,Mata Ahşap ve Otomotiv Sanayi Ticaret A.Ş.,1234
62,MS Pharma İlaç Sanayi ve Ticaret A.Ş.,1234
63,DAMLA SU SERA İNŞ. DAMLAMA SULAMA VE TARIM MALZ.T,1234
64,UĞUR TEKNİK MUSTAFA KENET,1234
